líng,yuán,xīng 〇
qiū 㐀
tiàn 㐁
kuà 㐄
wǔ 㐅
yǐn 㐆
yí 㐌
xié 㐖
chóu 㐜
nuò 㐡
dān,qiú 㐤
xù 㐨
xíng 㐩
xiōng 㐫
liú 㐬
lǐn 㐭
xiāng 㐮
yōng 㐯
xìn 㐰
zhěn 㐱
dài 㐲
wù 㐳
pān 㐴
rú 㐵
mǎ 㐷
qiàn,cì 㐸
yì 㐹
yín,zhòng 㐺
nèi 㐻
chèng 㐼
fēng 㐽
zhuō 㑁
fǎng 㑂
ǎo 㑃
wǔ 㑄
zuò 㑅
zhòu 㑇
dòng 㑈
sù 㑉
yì 㑊
qióng 㑋
kuāng,wāng 㑌
lèi 㑍
nǎo 㑎
zhù 㑏
shū 㑐
xǔ 㑔
shēn 㑗
jiè 㑘
dié 㑙
nuó 㑚
sù 㑛
yì,chì 㑜
lòng 㑝
yìng 㑞
běng 㑟
lán 㑣
miáo 㑤
yì 㑥
lì 㑦
jì 㑧
yǔ 㑨
luó 㑩
chái 㑪
hún 㑮
xǔ 㑯
huì 㑰
rǎo 㑱
zhòu,zhū 㑳
hàn 㑵
xì 㑶
tài 㑷
yáo 㑸
huì 㑹
jùn 㑺
mà 㑻
lüè 㑼
táng 㑽
yáo 㑾
zhào 㑿
zhāi,zhǎ 㒀
yǔ 㒁
zhuó 㒂
èr 㒃
rǎn 㒄
qǐ 㒅
chì 㒆
wǔ 㒇
hàn 㒈
tǎng 㒉
sè 㒊
qióng 㒌
léi 㒍
sà 㒎
kuǐ,huì 㒑
pú 㒒
tà 㒓
shú,dú,tù 㒔
yāng 㒕
ǒu 㒖
tái 㒗
mián 㒙
yìn,wěn 㒚
diào 㒛
yǔ 㒜
miè,wà 㒝
jùn 㒞
niǎo 㒟
xiè 㒠
yóu 㒡
chè 㒤
fēng 㒥
lěi,lèi 㒦
lì 㒧
luǒ 㒩
jì 㒫
quán 㒰
cái 㒲
liǎng 㒳
gǔ 㒴
mào 㒵
guǎ 㒷
suì 㒸
mào 㒻
mán 㒼
quān 㒽
shì 㒾
lí 㒿
wǎng 㓁
kòu 㓂
dù 㓃
zhèn 㓄
tīng 㓅
bìng 㓈
huò 㓉
dòng 㓊
gòng 㓋
chēng 㓌
qīn,qìn,qǐn 㓎
jiǒng 㓏
lù 㓐
xìng 㓑
nán 㓓
xiè 㓔
bì 㓖
jié 㓗
sù 㓘
gōng 㓚
yòu 㓜
xíng 㓝
qià 㓞
pí 㓟
diàn,diǎn 㓠
fǔ,guā 㓡
luò 㓢
qià,gē 㓣
qià 㓤
tāng 㓥
bāi 㓦
gān 㓧
cí 㓨
xuān,jiē 㓩
lǎng 㓪
shé 㓭
lí 㓯
huà 㓰
tóu,shū 㓱
piān 㓲
dī 㓳
ruǎn 㓴
è 㓵
qiè 㓶
yì 㓷
zhuō,dōu 㓸
ruì,cuì,jì 㓹
jiān,qián 㓺
chì 㓼
chóng 㓽
xī,chí 㓾
lüè 㔀
dēng 㔁
lín 㔂
jué,xuē 㔃
sù 㔄
xiào 㔅
zàn 㔆
zhǔ 㔉
zhǎn,dǎn 㔊
jiān,lán 㔋
zòu,cǒu 㔌
chuā,zhá 㔍
xiè 㔎
lì,luǒ 㔏
chì 㔑
xí 㔒
jiǎn 㔓
jí 㔕
fèi,bèi,fú 㔗
chù 㔘
bēng 㔙
jié 㔚
bá 㔜
liǎng,liáng 㔝
kuài 㔞
xiā,hé 㔠
biē 㔡
jué,xuē 㔢
léi 㔣
xìn 㔤
bài,pí 㔥
yǎng 㔦
lǜ 㔧
bèi 㔨
è 㔩
lǔ 㔪
chè 㔭
nuó 㔮
xuán,suǎn 㔯
héng 㔰
yǔ 㔱
guǐ 㔳
yì 㔴
xuǎn 㔵
gòng,gǎn 㔶
lòu 㔷
tī 㔸
lè 㔹
shì 㔺
sǔn 㔼
yào 㔽
xiān,jié 㔾
zòu 㔿
què 㕁
yín,qín 㕂
xī 㕃
zhǐ 㕄
jiá 㕅
hù 㕆
lā 㕇
yǐ 㕈
kè 㕉
fū 㕊
qín 㕋
ài 㕌
kè 㕎
chú 㕏
xiě,xiè 㕐
chú 㕑
wēi 㕒
huàn 㕕
sù 㕖
yòu 㕗
jùn 㕙
zhǎo 㕚
xù 㕛
shǐ 㕜
shuā 㕞
kuì,kuài 㕟
shuāng 㕠
hé 㕡
gài,hài 㕢
yǎn 㕣
qiú 㕤
shēn 㕥
huà 㕦
xī 㕧
fàn 㕨
pàng 㕩
dǎn 㕪
fǎng,fēng 㕫
gōng,sòng 㕬
āo,ào 㕭
fǔ 㕮
nè 㕯
xuè,ma 㕰
yóu 㕱
huá,yíng 㕲
chén 㕴
guó 㕵
ň,ňg 㕶
huà,pā 㕷
lì 㕸
fá 㕹
xiāo 㕺
pǒu 㕻
sì 㕽
lè 㖀
lìn 㖁
yì 㖂
hǒu,hòu 㖃
xù 㖅
qú 㖆
ér 㖇
xún 㖊
niè 㖏
wěi 㖐
xiè 㖑
tí 㖒
hóng 㖓
tǔn 㖔
niè,xīn 㖕
niè 㖖
yín 㖗
zhēn 㖘
wāi 㖞
shòu 㖟
nuò 㖠
yè 㖡
qí 㖢
tòu 㖣
hán 㖤
jùn 㖥
dǒng 㖦
hūn,wěn 㖧
lù 㖨
jū,sǒu 㖩
huò,guó,xù 㖪
líng 㖫
tiǎn 㖭
lún 㖮
gé 㖵
yān,yè,yīn 㖶
shí,tí 㖷
xué,niā 㖸
pēn,fèn 㖹
chǔn 㖺
niú,ròu 㖻
duǒ 㖼
zé 㖽
è 㖾
xié,yé 㖿
yōu 㗀
è 㗁
shěng 㗂
wěn,hūn 㗃
kū 㗄
hú 㗅
gé 㗆
xiá,ya 㗇
màn 㗈
lüè,è 㗉
jí,léi 㗊
hóu 㗋
zhì 㗌
wāi 㗏
bai 㗑
ài 㗒
zhuī 㗓
qiān 㗔
gòu,gōu 㗕
dàn 㗖
bēi 㗗
bó 㗘
chū,nà,zhōu 㗙
lì 㗚
xiào 㗛
xiù 㗜
hóng,dòng,hòng 㗢
tì 㗣
cù 㗤
kuò,guō 㗥
láo 㗦
zhì,dié 㗧
xiē,ǎi 㗨
xī 㗩
qiè 㗫
zhā 㗬
xī 㗭
cóng 㗰
jí 㗱
huò 㗲
tǎ,dā 㗳
yán 㗴
xù 㗵
pō 㗶
sǎi 㗷
guō 㗻
yè 㗼
xiǎng 㗽
xuē 㗾
hé,xià,xiā 㗿
zuò 㘀
yì 㘁
cí 㘂
lēng 㘄
xián 㘅
tǎi 㘆
róng 㘇
yì,nǐ 㘈
zhì 㘉
xī,yì 㘊
xián 㘋
jù 㘌
jí 㘍
hǎn 㘎
pào 㘐
lì 㘑
lán 㘓
sǎi 㘔
hǎn,lán 㘕
yán 㘖
qū 㘗
yán 㘙
hǎn 㘚
kān 㘛
chǐ 㘜
niè 㘝
huò 㘞
bì 㘠
xiá 㘡
wěng 㘢
xuán,yuán 㘣
wān 㘤
yóu 㘥
qín 㘦
xù 㘧
niè 㘨
bì 㘩
hào 㘪
jǐng 㘫
ào,wù 㘬
ào 㘭
zhēn 㘰
tān 㘱
jú 㘲
zuò 㘴
bù 㘵
jié 㘶
ài 㘷
zàng,zuò 㘸
cí 㘹
fá 㘺
niè 㘿
liù,jiù 㙀
méi,mù 㙁
duì,wèng 㙂
bāng 㙃
bì 㙄
bǎo 㙅
chù 㙇
xià 㙈
tiǎn 㙉
cháng,zhàng 㙊
duō 㙍
wēi 㙎
fù 㙏
duǒ 㙐
yǔ 㙑
yě 㙒
kuí 㙓
wěi,hán 㙔
kuài 㙕
wēi 㙗
yāo 㙘
lǒng 㙙
xīng 㙚
bǔ 㙛
chí 㙜
xié 㙝
niè 㙞
lǎng 㙟
yī,yì 㙠
zōng 㙡
mán 㙢
zhàng 㙣
xià 㙤
gùn 㙥
xié 㙦
jì 㙨
liáo 㙩
yì 㙪
jí 㙫
yín 㙬
dā,da 㙮
yì 㙯
xiè 㙰
hào 㙱
yǒng 㙲
kǎn,hǎn 㙳
chàn 㙴
tái 㙵
táng 㙶
zhí,zhé 㙷
bào 㙸
méng 㙹
kuí,guì 㙺
chán 㙻
lěi 㙼
xì 㙾
xī 㚀
qiào 㚁
nàng 㚂
yūn 㚃
lóng 㚅
fù 㚆
zōng 㚇
gǔ 㚉
kāi 㚊
diāo 㚋
huà 㚌
kuǐ,kuì 㚍
gǎo 㚏
tào 㚐
shǎn 㚒
lǎi 㚓
niè,xìng 㚔
fú 㚕
gǎo,zé 㚖
qié 㚗
bàn,hè,fú 㚘
jiā 㚙
kōng,kuāng 㚚
xì 㚛
yù,xù 㚜
zhuī 㚝
shěn 㚞
chuò 㚟
xiāo 㚠
jǐ 㚡
nú,wǔ 㚢
xiáo 㚣
yì 㚤
yú 㚥
yí 㚦
yǎn 㚧
shěn 㚨
rǎn 㚩
hào 㚪
sà 㚫
jūn 㚬
yóu 㚭
xín 㚯
pēi,bǐ 㚰
qiū 㚱
chān,diǎn,diàn 㚲
bù 㚴
dōng 㚵
sì,yí 㚶
ěr 㚷
mǎo,liǔ 㚹
yùn 㚺
jī 㚻
qiǎo 㚽
xiōng 㚾
páo 㚿
chú 㛀
pēng 㛁
nuǒ 㛂
jié 㛃
yī 㛄
èr 㛅
duò,duǒ 㛆
duǒ 㛊
qiè,xiǎn,xiá 㛍
lǚ 㛎
qiú 㛏
sǒu 㛐
càn 㛑
dòu 㛒
xī 㛓
fēng,péng 㛔
yì,è 㛕
suō 㛖
qiē,zuō,suō 㛗
pò 㛘
xīn,qiè 㛙
tǒng,yǒng 㛚
xìn 㛛
yóu 㛜
bèi 㛝
lòng 㛞
yún 㛣
lí 㛤
tà 㛥
lǎn 㛦
mǎn 㛧
qiǎng 㛨
zhóu 㛩
yàn,yān 㛪
xī 㛫
lù 㛬
xī 㛭
sǎo 㛮
fàn,miǎn,zhuàn 㛯
wěi,wēi 㛱
fà 㛲
yì 㛳
nǎo 㛴
chēng 㛵
tàn 㛶
jī 㛷
shù 㛸
pián 㛹
ān 㛺
kuā 㛻
chā,shà 㛼
xián 㛾
zhì 㛿
fēng 㜂
liàn 㜃
xún 㜄
xù 㜅
mì 㜆
huì,yè 㜇
mù 㜈
yōng 㜉
zhǎn 㜊
yì 㜋
nǒu,gòu,kòu 㜌
táng 㜍
xī,xì 㜎
yún 㜏
shù 㜐
fú 㜑
yì 㜒
dá 㜓
lián 㜕
cáo 㜖
cān,sēn 㜗
jù,qù,chá 㜘
lù 㜙
sù 㜚
nèn 㜛
ào 㜜
ǎn,yǎn 㜝
qiàn,cán 㜞
cuī 㜠
cōng 㜡
rán,rǎn 㜣
niǎn,tiǎn,tán 㜤
mái 㜥
xín 㜦
yuè 㜧
nái 㜨
ào 㜩
shēn 㜪
mà 㜫
làn,lán 㜮
xī 㜯
yuè 㜰
zhì 㜱
wěng 㜲
huái 㜳
mèng 㜴
niǎo 㜵
wǎn 㜶
mí,xiǎn 㜷
niè 㜸
qú 㜹
zàn 㜺
liàn 㜻
zhí 㜼
zǐ 㜽
hái 㜾
xù 㜿
hào 㝀
