ling,yuan,xing 〇
qiu 㐀
tian 㐁
kua 㐄
wu 㐅
yin 㐆
yi 㐌
xie 㐖
chou 㐜
nuo 㐡
qiu,dan 㐤
xu 㐨
xing 㐩
xiong 㐫
liu 㐬
lin 㐭
xiang 㐮
yong 㐯
xin 㐰
zhen 㐱
dai 㐲
wu 㐳
pan 㐴
ru 㐵
ma 㐷
qian,ci 㐸
yi 㐹
yin,zhong 㐺
nei 㐻
cheng 㐼
feng 㐽
zhuo 㑁
fang 㑂
ao 㑃
wu 㑄
zuo 㑅
zhou 㑇
dong 㑈
su 㑉
yi 㑊
qiong 㑋
kuang,wang 㑌
lei 㑍
nao 㑎
zhu 㑏
shu 㑐
xu 㑔
shen 㑗
jie 㑘
die 㑙
nuo 㑚
su 㑛
chi,yi 㑜
long 㑝
ying 㑞
beng 㑟
lan 㑣
miao 㑤
yi 㑥
li 㑦
ji 㑧
yu 㑨
luo 㑩
chai 㑪
hun 㑮
xu 㑯
hui 㑰
rao 㑱
zhou,zhu 㑳
han 㑵
xi 㑶
tai 㑷
yao 㑸
hui 㑹
jun 㑺
ma 㑻
lve 㑼
tang 㑽
yao 㑾
zhao 㑿
zhai,zha 㒀
yu 㒁
zhuo 㒂
er 㒃
ran 㒄
qi 㒅
chi 㒆
wu 㒇
han 㒈
tang 㒉
se 㒊
qiong 㒌
lei 㒍
sa 㒎
hui,kui 㒑
pu 㒒
ta 㒓
tu,shu,du 㒔
yang 㒕
ou 㒖
tai 㒗
mian 㒙
yin,wen 㒚
diao 㒛
yu 㒜
mie,wa 㒝
jun 㒞
niao 㒟
xie 㒠
you 㒡
che 㒤
feng 㒥
lei 㒦
li 㒧
luo 㒩
ji 㒫
quan 㒰
cai 㒲
liang 㒳
gu 㒴
mao 㒵
gua 㒷
sui 㒸
mao 㒻
man 㒼
quan 㒽
shi 㒾
li 㒿
wang 㓁
kou 㓂
du 㓃
zhen 㓄
ting 㓅
bing 㓈
huo 㓉
dong 㓊
gong 㓋
cheng 㓌
qin 㓎
jiong 㓏
lu 㓐
xing 㓑
nan 㓓
xie 㓔
bi 㓖
jie 㓗
su 㓘
gong 㓚
you 㓜
xing 㓝
qia 㓞
pi 㓟
dian 㓠
fu,gua 㓡
luo 㓢
qia,ge 㓣
qia 㓤
tang 㓥
bai 㓦
gan 㓧
ci 㓨
xuan,jie 㓩
lang 㓪
she 㓭
li 㓯
hua 㓰
shu,tou 㓱
pian 㓲
di 㓳
ruan 㓴
e 㓵
qie 㓶
yi 㓷
zhuo,dou 㓸
ji,rui,cui 㓹
qian,jian 㓺
chi 㓼
chong 㓽
chi,xi 㓾
lve 㔀
deng 㔁
lin 㔂
xue,jue 㔃
su 㔄
xiao 㔅
zan 㔆
zhu 㔉
dan,zhan 㔊
lan,jian 㔋
zou,cou 㔌
zha,chua 㔍
xie 㔎
li,luo 㔏
chi 㔑
xi 㔒
jian 㔓
ji 㔕
fu,bei,fei 㔗
chu 㔘
beng 㔙
jie 㔚
ba 㔜
liang 㔝
kuai 㔞
xia,he 㔠
bie 㔡
xue,jue 㔢
lei 㔣
xin 㔤
pi,bai 㔥
yang 㔦
lv 㔧
bei 㔨
e 㔩
lu 㔪
che 㔭
nuo 㔮
suan,xuan 㔯
heng 㔰
yu 㔱
gui 㔳
yi 㔴
xuan 㔵
gan,gong 㔶
lou 㔷
ti 㔸
le 㔹
shi 㔺
sun 㔼
yao 㔽
jie,xian 㔾
zou 㔿
que 㕁
yin,qin 㕂
xi 㕃
zhi 㕄
jia 㕅
hu 㕆
la 㕇
yi 㕈
ke 㕉
fu 㕊
qin 㕋
ai 㕌
ke 㕎
chu 㕏
xie 㕐
chu 㕑
wei 㕒
huan 㕕
su 㕖
you 㕗
jun 㕙
zhao 㕚
xu 㕛
shi 㕜
shua 㕞
kui,kuai 㕟
shuang 㕠
he 㕡
gai,hai 㕢
yan 㕣
qiu 㕤
shen 㕥
hua 㕦
xi 㕧
fan 㕨
pang 㕩
dan 㕪
feng,fang 㕫
song,gong 㕬
ao 㕭
fu 㕮
ne 㕯
ma,xue 㕰
you 㕱
hua,ying 㕲
chen 㕴
guo 㕵
ňg,ň 㕶
hua,pa 㕷
li 㕸
fa 㕹
xiao 㕺
pou 㕻
si 㕽
le 㖀
lin 㖁
yi 㖂
hou 㖃
xu 㖅
qu 㖆
er 㖇
xun 㖊
nie 㖏
wei 㖐
xie 㖑
ti 㖒
hong 㖓
tun 㖔
nie,xin 㖕
nie 㖖
yin 㖗
zhen 㖘
wai 㖞
shou 㖟
nuo 㖠
ye 㖡
qi 㖢
tou 㖣
han 㖤
jun 㖥
dong 㖦
wen,hun 㖧
lu 㖨
ju,sou 㖩
xu,huo,guo 㖪
ling 㖫
tian 㖭
lun 㖮
ge 㖵
yin,ye,yan 㖶
shi,ti 㖷
nia,xue 㖸
fen,pen 㖹
chun 㖺
niu,rou 㖻
duo 㖼
ze 㖽
e 㖾
ye,xie 㖿
you 㗀
e 㗁
sheng 㗂
wen,hun 㗃
ku 㗄
hu 㗅
ge 㗆
ya,xia 㗇
man 㗈
lve,e 㗉
ji,lei 㗊
hou 㗋
zhi 㗌
wai 㗏
bai 㗑
ai 㗒
zhui 㗓
qian 㗔
gou 㗕
dan 㗖
bei 㗗
bo 㗘
na,chu,zhou 㗙
li 㗚
xiao 㗛
xiu 㗜
dong,hong 㗢
ti 㗣
cu 㗤
kuo,guo 㗥
lao 㗦
die,zhi 㗧
ai,xie 㗨
xi 㗩
qie 㗫
zha 㗬
xi 㗭
cong 㗰
ji 㗱
huo 㗲
ta,da 㗳
yan 㗴
xu 㗵
po 㗶
sai 㗷
guo 㗻
ye 㗼
xiang 㗽
xue 㗾
he,xia 㗿
zuo 㘀
yi 㘁
ci 㘂
leng 㘄
xian 㘅
tai 㘆
rong 㘇
yi,ni 㘈
zhi 㘉
xi,yi 㘊
xian 㘋
ju 㘌
ji 㘍
han 㘎
pao 㘐
li 㘑
lan 㘓
sai 㘔
lan,han 㘕
yan 㘖
qu 㘗
yan 㘙
han 㘚
kan 㘛
chi 㘜
nie 㘝
huo 㘞
bi 㘠
xia 㘡
weng 㘢
xuan,yuan 㘣
wan 㘤
you 㘥
qin 㘦
xu 㘧
nie 㘨
bi 㘩
hao 㘪
jing 㘫
ao,wu 㘬
ao 㘭
zhen 㘰
tan 㘱
ju 㘲
zuo 㘴
bu 㘵
jie 㘶
ai 㘷
zuo,zang 㘸
ci 㘹
fa 㘺
nie 㘿
liu,jiu 㙀
mei,mu 㙁
weng,dui 㙂
bang 㙃
bi 㙄
bao 㙅
chu 㙇
xia 㙈
tian 㙉
zhang,chang 㙊
duo 㙍
wei 㙎
fu 㙏
duo 㙐
yu 㙑
ye 㙒
kui 㙓
wei,han 㙔
kuai 㙕
wei 㙗
yao 㙘
long 㙙
xing 㙚
bu 㙛
chi 㙜
xie 㙝
nie 㙞
lang 㙟
yi 㙠
zong 㙡
man 㙢
zhang 㙣
xia 㙤
gun 㙥
xie 㙦
ji 㙨
liao 㙩
yi 㙪
ji 㙫
yin 㙬
da 㙮
yi 㙯
xie 㙰
hao 㙱
yong 㙲
kan,han 㙳
chan 㙴
tai 㙵
tang 㙶
zhe,zhi 㙷
bao 㙸
meng 㙹
gui,kui 㙺
chan 㙻
lei 㙼
xi 㙾
xi 㚀
qiao 㚁
nang 㚂
yun 㚃
long 㚅
fu 㚆
zong 㚇
gu 㚉
kai 㚊
diao 㚋
hua 㚌
kui 㚍
gao 㚏
tao 㚐
shan 㚒
lai 㚓
nie,xing 㚔
fu 㚕
ze,gao 㚖
qie 㚗
fu,ban,he 㚘
jia 㚙
kuang,kong 㚚
xi 㚛
xu,yu 㚜
zhui 㚝
shen 㚞
chuo 㚟
xiao 㚠
ji 㚡
wu,nu 㚢
xiao 㚣
yi 㚤
yu 㚥
yi 㚦
yan 㚧
shen 㚨
ran 㚩
hao 㚪
sa 㚫
jun 㚬
you 㚭
xin 㚯
bi,pei 㚰
qiu 㚱
dian,chan 㚲
bu 㚴
dong 㚵
yi,si 㚶
er 㚷
liu,mao 㚹
yun 㚺
ji 㚻
qiao 㚽
xiong 㚾
pao 㚿
chu 㛀
peng 㛁
nuo 㛂
jie 㛃
yi 㛄
er 㛅
duo 㛆
duo 㛊
qie,xia,xian 㛍
lv 㛎
qiu 㛏
sou 㛐
can 㛑
dou 㛒
xi 㛓
peng,feng 㛔
yi,e 㛕
suo 㛖
zuo,qie,suo 㛗
po 㛘
xin,qie 㛙
tong,yong 㛚
xin 㛛
you 㛜
bei 㛝
long 㛞
yun 㛣
li 㛤
ta 㛥
lan 㛦
man 㛧
qiang 㛨
zhou 㛩
yan 㛪
xi 㛫
lu 㛬
xi 㛭
sao 㛮
zhuan,fan,mian 㛯
wei 㛱
fa 㛲
yi 㛳
nao 㛴
cheng 㛵
tan 㛶
ji 㛷
shu 㛸
pian 㛹
an 㛺
kua 㛻
sha,cha 㛼
xian 㛾
zhi 㛿
feng 㜂
lian 㜃
xun 㜄
xu 㜅
mi 㜆
hui,ye 㜇
mu 㜈
yong 㜉
zhan 㜊
yi 㜋
nou,kou,gou 㜌
tang 㜍
xi 㜎
yun 㜏
shu 㜐
fu 㜑
